uid,accession_version,title,organism,taxid,length,source_database,updated_date,found_by_annotation_query,found_by_prk09371_query
504893650,WP_015080752.1,MULTISPECIES: gas vesicle structural protein GvpA [Nostocales],Nostocales,1161,71,refseq,2023/03/20,True,True
504959459,WP_015146561.1,MULTISPECIES: gas vesicle structural protein GvpA [Oscillatoriaceae],Oscillatoriaceae,1892254,72,refseq,2023/03/20,True,True
504976983,WP_015164085.1,gas vesicle structural protein GvpA [Thalassoporum mexicanum],Thalassoporum mexicanum,3457544,73,refseq,2025/08/21,True,True
504979934,WP_015167036.1,gas vesicle structural protein GvpA [Pseudanabaenococcus habilitatus],Pseudanabaenococcus habilitatus,3687901,72,refseq,2026/02/27,True,True
504983916,WP_015171018.1,MULTISPECIES: gas vesicle structural protein GvpA [Cyanophyceae],Cyanophyceae,3028117,72,refseq,2023/10/06,True,True
505037496,WP_015224598.1,gas vesicle structural protein GvpA [Halothece sp. PCC 7418],Halothece sp. PCC 7418,65093,72,refseq,2023/03/20,True,True
505041976,WP_015229078.1,gas vesicle structural protein GvpA [Dactylococcopsis salina],Dactylococcopsis salina,292566,72,refseq,2023/03/20,True,True
513471164,EPF18918.1,Gas vesicle structural protein [Microcystis aeruginosa SPC777],Microcystis aeruginosa SPC777,482300,71,insd,2013/08/22,False,True
513471165,EPF18919.1,Gas vesicle structural protein [Microcystis aeruginosa SPC777],Microcystis aeruginosa SPC777,482300,71,insd,2013/08/22,False,True
513471166,EPF18920.1,Gas vesicle structural protein [Microcystis aeruginosa SPC777],Microcystis aeruginosa SPC777,482300,71,insd,2013/08/22,False,True
515489323,WP_016922591.1,gas vesicle structural protein GvpA [Prochlorothrix hollandica],Prochlorothrix hollandica,1223,71,refseq,2023/03/20,True,True
515869481,WP_017300094.1,MULTISPECIES: gas vesicle structural protein GvpA [Cyanophyceae],Cyanophyceae,3028117,72,refseq,2023/03/20,True,True
515891966,WP_017322549.1,gas vesicle structural protein GvpA [Chlorogloeopsis sp.],Chlorogloeopsis sp.,28069,73,refseq,2026/09/04,True,False
516331066,WP_017721725.1,gas vesicle structural protein GvpA [Kamptonema formosum],Kamptonema formosum,331992,72,refseq,2025/09/18,True,True
516331074,WP_017721733.1,gas vesicle structural protein GvpA [Kamptonema formosum],Kamptonema formosum,331992,72,refseq,2025/09/18,True,True
516414525,WP_017803923.1,gas vesicle structural protein GvpA [Nodularia spumigena],Nodularia spumigena,70799,71,refseq,2023/03/20,True,True
516414526,WP_017803924.1,gas vesicle structural protein GvpA [Nodularia spumigena],Nodularia spumigena,70799,71,refseq,2023/03/20,True,True
518331394,WP_019501601.1,gas vesicle structural protein GvpA [Portococcus stanieri],Portococcus stanieri,3687900,72,refseq,2026/02/26,True,True
585120930,AHJ27872.1,gas vesicle protein [Nodularia spumigena CCY9414],Nodularia spumigena CCY9414,313624,71,insd,2014/04/03,False,True
585120931,AHJ27873.1,gas vesicle protein [Nodularia spumigena CCY9414],Nodularia spumigena CCY9414,313624,71,insd,2014/04/03,False,True
585122932,AHJ29874.1,gas vesicle protein [Nodularia spumigena CCY9414],Nodularia spumigena CCY9414,313624,71,insd,2014/04/03,False,True
585304848,CDM94358.1,Gas vesicle structural protein A [Limnospira indica PCC 8005],Limnospira indica PCC 8005,376219,72,insd,2023/07/14,True,True
585304852,CDM94362.1,Gas vesicle structural protein A [Limnospira indica PCC 8005],Limnospira indica PCC 8005,376219,72,insd,2023/07/14,True,True
647980535,KDR57539.1,gas vesicle synthesis protein GvpA [Limnospira platensis str. Paraca],Limnospira platensis str. Paraca,634502,72,insd,2014/06/06,False,True
652393343,WP_026789190.1,MULTISPECIES: gas vesicle structural protein GvpA [Planktothrix],Planktothrix,54304,72,refseq,2023/03/20,True,True
658297848,KEI66243.1,GvpA [Planktothrix agardhii NIVA-CYA 126/8],Planktothrix agardhii NIVA-CYA 126/8,388467,72,insd,2014/06/23,True,True
691246408,KGF72140.1,gas vesicle synthesis protein GvpA [Neosynechococcus sphagnicola sy1],Neosynechococcus sphagnicola sy1,1497020,72,insd,2014/09/29,False,True
718248123,GAL94792.1,hypothetical protein N44_03647 [Microcystis aeruginosa NIES-44],Microcystis aeruginosa NIES-44,449439,71,insd,2023/08/04,False,True
718248125,GAL94794.1,gas vesicle synthesis protein GvpA [Microcystis aeruginosa NIES-44],Microcystis aeruginosa NIES-44,449439,71,insd,2023/08/04,False,True
728924158,KHG40388.1,gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae 2012/KM1/D3],Aphanizomenon flos-aquae 2012/KM1/D3,1532906,71,insd,2014/12/04,False,True
728924159,KHG40389.1,gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae 2012/KM1/D3],Aphanizomenon flos-aquae 2012/KM1/D3,1532906,71,insd,2014/12/04,False,True
728924160,KHG40390.1,gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae 2012/KM1/D3],Aphanizomenon flos-aquae 2012/KM1/D3,1532906,71,insd,2014/12/04,False,True
738045655,WP_036004549.1,gas vesicle structural protein GvpA [Leptolyngbya sp. NK1-12],Leptolyngbya sp. NK1-12,2547451,72,refseq,2023/10/20,True,True
738625137,WP_036534731.1,gas vesicle structural protein GvpA [Neosynechococcus sphagnicola],Neosynechococcus sphagnicola,1501145,72,refseq,2023/03/20,True,True
740241190,WP_038082255.1,MULTISPECIES: gas vesicle structural protein GvpA [Nostocales],Nostocales,1161,72,refseq,2024/12/13,True,True
748152455,WP_039726782.1,MULTISPECIES: gas vesicle structural protein GvpA [Cyanophyceae],Cyanophyceae,3028117,72,refseq,2025/03/02,True,True
748179307,WP_039752851.1,MULTISPECIES: gas vesicle structural protein GvpA [Tolypothrichaceae],Tolypothrichaceae,119859,72,refseq,2023/03/20,True,True
748750319,WP_040008434.1,"gas vesicle structural protein GvpA, partial [Cylindrospermopsis raciborskii]",Cylindrospermopsis raciborskii,77022,54,refseq,2023/03/20,True,True
797210304,WP_045871251.1,MULTISPECIES: gas vesicle structural protein GvpA [Nostocales],Nostocales,1161,71,refseq,2023/03/20,True,True
807216088,KKD38181.1,gas vesicle synthesis protein GvpA [Limnoraphis robusta CS-951],Limnoraphis robusta CS-951,1637645,71,insd,2015/07/17,False,True
815934758,KKI99300.1,gas vesicle synthesis protein GvpA [Prochlorothrix hollandica PCC 9006 = CALU 1027],Prochlorothrix hollandica PCC 9006 = CALU 1027,317619,71,insd,2016/11/01,False,True
815965717,AKE64862.1,Gas vesicle structural protein (GVP) [Microcystis aeruginosa NIES-2549],Microcystis aeruginosa NIES-2549,1641812,71,insd,2015/08/31,False,True
923467562,KOR33831.1,gas vesicle synthesis protein GvpA [Planktothricoides sp. SR001],Planktothricoides sp. SR001,1705388,71,insd,2015/08/31,False,True
923472140,KOR37871.1,gas vesicle synthesis protein GvpA [Planktothricoides sp. SR001],Planktothricoides sp. SR001,1705388,72,insd,2015/08/31,False,True
924288629,ALB40393.1,gas vesicle synthesis protein GvpA [Anabaena sp. WA102],Anabaena sp. WA102,1647413,71,insd,2017/03/31,False,True
924288630,ALB40394.1,gas vesicle synthesis protein GvpA [Anabaena sp. WA102],Anabaena sp. WA102,1647413,71,insd,2017/03/31,False,True
924288631,ALB40395.1,gas vesicle synthesis protein GvpA [Anabaena sp. WA102],Anabaena sp. WA102,1647413,71,insd,2017/03/31,False,True
924288632,ALB40396.1,gas vesicle synthesis protein GvpA [Anabaena sp. WA102],Anabaena sp. WA102,1647413,71,insd,2017/03/31,False,True
924288633,ALB40397.1,gas vesicle synthesis protein GvpA [Anabaena sp. WA102],Anabaena sp. WA102,1647413,71,insd,2017/03/31,False,True
924288634,ALB40398.1,gas vesicle synthesis protein GvpA [Anabaena sp. WA102],Anabaena sp. WA102,1647413,71,insd,2017/03/31,False,True
924288635,ALB40399.1,gas vesicle synthesis protein GvpA [Anabaena sp. WA102],Anabaena sp. WA102,1647413,71,insd,2017/03/31,False,True
932875979,BAS56031.1,Gas vesicle protein [Leptolyngbya boryana IAM M-101],Leptolyngbya boryana IAM M-101,411966,72,insd,2015/11/18,False,True
932882619,BAS62379.1,Gas vesicle protein [Leptolyngbya boryana dg5],Leptolyngbya boryana dg5,1260963,72,insd,2015/11/18,False,True
935598281,WP_054464971.1,MULTISPECIES: gas vesicle structural protein GvpA [Planktothricoides],Planktothricoides,132607,72,refseq,2023/12/16,True,True
935609832,WP_054470142.1,MULTISPECIES: gas vesicle structural protein GvpA [Planktothricoides],Planktothricoides,132607,71,refseq,2024/07/11,True,True
948281304,KRH95680.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis sp. CR12],Cylindrospermopsis sp. CR12,1747196,71,insd,2015/11/05,False,True
948281305,KRH95681.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis sp. CR12],Cylindrospermopsis sp. CR12,1747196,71,insd,2015/11/05,False,True
948281306,KRH95682.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis sp. CR12],Cylindrospermopsis sp. CR12,1747196,71,insd,2015/11/05,False,True
948281307,KRH95683.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis sp. CR12],Cylindrospermopsis sp. CR12,1747196,71,insd,2015/11/05,False,True
950122579,WP_057178839.1,MULTISPECIES: gas vesicle structural protein GvpA [Nostocales],Nostocales,1161,71,refseq,2023/03/20,True,True
950361816,CEJ46246.1,Gas vesicle structural protein (GVP) [Umezakia ovalisporum],Umezakia ovalisporum,75695,71,insd,2015/11/09,False,True
965634138,BAU13710.1,gas vesicle structural protein [Leptolyngbya sp. NIES-3755],Leptolyngbya sp. NIES-3755,1752064,72,insd,2015/12/09,False,True
965634141,BAU13713.1,gas vesicle protein GvpA [Leptolyngbya sp. NIES-3755],Leptolyngbya sp. NIES-3755,1752064,110,insd,2015/12/09,True,False
984537755,BAU42735.1,Gas vesicle structural protein [Leptolyngbya sp. O-77],Leptolyngbya sp. O-77,1080068,72,insd,2016/01/29,False,True
1002149689,KXS91087.1,gas vesicle synthesis protein GvpA [Microcystis aeruginosa NIES-88],Microcystis aeruginosa NIES-88,449441,71,insd,2016/03/01,False,True
1002149690,KXS91088.1,gas vesicle synthesis protein GvpA [Microcystis aeruginosa NIES-88],Microcystis aeruginosa NIES-88,449441,71,insd,2016/03/01,False,True
1015662573,AMW28935.1,gas vesicle synthesis protein GvpA [Limnospira platensis YZ],Limnospira platensis YZ,1738638,72,insd,2018/12/18,False,True
1020315383,KZL49098.1,gas vesicle synthesis protein GvpA [Nodularia spumigena CENA596],Nodularia spumigena CENA596,1819295,71,insd,2016/04/19,False,True
1020315384,KZL49099.1,gas vesicle synthesis protein GvpA [Nodularia spumigena CENA596],Nodularia spumigena CENA596,1819295,71,insd,2016/04/19,False,True
1028120077,WP_063873374.1,MULTISPECIES: gas vesicle structural protein GvpA [Cyanophyceae],Cyanophyceae,3028117,71,refseq,2023/03/20,True,True
1028120078,WP_063873375.1,MULTISPECIES: gas vesicle structural protein GvpA [Nostocales],Nostocales,1161,71,refseq,2023/03/20,True,True
1039169806,OBQ14911.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. AL93],Anabaena sp. AL93,1678133,71,insd,2016/06/20,False,True
1039169807,OBQ14912.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. AL93],Anabaena sp. AL93,1678133,71,insd,2016/06/20,False,True
1039169808,OBQ14913.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. AL93],Anabaena sp. AL93,1678133,71,insd,2016/06/20,False,True
1039169809,OBQ14914.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. AL93],Anabaena sp. AL93,1678133,60,insd,2016/06/20,False,True
1039169829,OBQ14924.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. WA113],Anabaena sp. WA113,1710889,71,insd,2016/06/20,False,True
1039169830,OBQ14925.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. WA113],Anabaena sp. WA113,1710889,60,insd,2016/06/20,False,True
1039169879,OBQ14951.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. AL93],Anabaena sp. AL93,1678133,71,insd,2016/06/20,False,True
1039170005,OBQ15027.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. WA113],Anabaena sp. WA113,1710889,71,insd,2016/06/20,False,True
1039170006,OBQ15028.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. WA113],Anabaena sp. WA113,1710889,71,insd,2016/06/20,False,True
1039170234,OBQ15186.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae LD13],Aphanizomenon flos-aquae LD13,1710894,71,insd,2016/06/20,False,True
1039170440,OBQ15340.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. WA113],Anabaena sp. WA113,1710889,71,insd,2016/06/20,False,True
1039170441,OBQ15341.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. WA113],Anabaena sp. WA113,1710889,71,insd,2016/06/20,False,True
1039170442,OBQ15342.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. WA113],Anabaena sp. WA113,1710889,71,insd,2016/06/20,False,True
1039172733,OBQ17371.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. WA113],Anabaena sp. WA113,1710889,71,insd,2016/06/20,False,True
1039172734,OBQ17372.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. WA113],Anabaena sp. WA113,1710889,71,insd,2016/06/20,False,True
1039173685,OBQ18273.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. WA113],Anabaena sp. WA113,1710889,71,insd,2016/06/20,False,True
1039179963,OBQ24396.1,"MAG: gas vesicle synthesis protein GvpA, partial [Aphanizomenon flos-aquae MDT14a]",Aphanizomenon flos-aquae MDT14a,1710895,66,insd,2016/06/20,False,True
1039180512,OBQ24916.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae MDT14a],Aphanizomenon flos-aquae MDT14a,1710895,71,insd,2016/06/20,False,True
1039180513,OBQ24917.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae MDT14a],Aphanizomenon flos-aquae MDT14a,1710895,60,insd,2016/06/20,False,True
1039180767,OBQ25151.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae MDT14a],Aphanizomenon flos-aquae MDT14a,1710895,71,insd,2016/06/20,False,True
1039180815,OBQ25194.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae MDT14a],Aphanizomenon flos-aquae MDT14a,1710895,71,insd,2016/06/20,False,True
1039180903,OBQ25276.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae MDT14a],Aphanizomenon flos-aquae MDT14a,1710895,71,insd,2016/06/20,False,True
1039185415,OBQ29391.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae MDT14a],Aphanizomenon flos-aquae MDT14a,1710895,71,insd,2016/06/20,False,True
1039185424,OBQ29396.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae MDT14a],Aphanizomenon flos-aquae MDT14a,1710895,71,insd,2016/06/20,False,True
1039188507,OBQ31885.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae WA102],Aphanizomenon flos-aquae WA102,1710896,71,insd,2016/06/20,False,True
1039188508,OBQ31886.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae WA102],Aphanizomenon flos-aquae WA102,1710896,60,insd,2016/06/20,False,True
1039197310,OBQ38399.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae WA102],Aphanizomenon flos-aquae WA102,1710896,71,insd,2016/06/20,False,True
1039197311,OBQ38400.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae WA102],Aphanizomenon flos-aquae WA102,1710896,71,insd,2016/06/20,False,True
1039199448,OBQ40380.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. CRKS33],Anabaena sp. CRKS33,1710888,71,insd,2016/06/20,False,True
1039200439,OBQ41312.1,MAG: gas vesicle synthesis protein GvpA [Anabaena sp. MDT14b],Anabaena sp. MDT14b,1710886,56,insd,2016/06/20,False,True
1039202286,OBQ43054.1,"MAG: gas vesicle synthesis protein GvpA, partial [Aphanizomenon flos-aquae WA102]",Aphanizomenon flos-aquae WA102,1710896,66,insd,2016/06/20,False,True
1039202287,OBQ43055.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae WA102],Aphanizomenon flos-aquae WA102,1710896,71,insd,2016/06/20,False,True
1039202288,OBQ43056.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae WA102],Aphanizomenon flos-aquae WA102,1710896,71,insd,2016/06/20,False,True
1039202289,OBQ43057.1,MAG: gas vesicle synthesis protein GvpA [Aphanizomenon flos-aquae WA102],Aphanizomenon flos-aquae WA102,1710896,71,insd,2016/06/20,False,True
1040645164,OBU77499.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii CS-505],Cylindrospermopsis raciborskii CS-505,533240,71,insd,2016/06/24,False,True
1040645165,OBU77500.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii CS-505],Cylindrospermopsis raciborskii CS-505,533240,71,insd,2016/06/24,False,True
1040645166,OBU77501.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii CS-505],Cylindrospermopsis raciborskii CS-505,533240,71,insd,2016/06/24,False,True
1049319744,OCQ97936.1,gas vesicle synthesis protein GvpA [Oscillatoriales cyanobacterium USR001],Oscillatoriales cyanobacterium USR001,1880991,72,insd,2016/08/03,False,True
1052160791,AOC53259.1,hypothetical protein amyaer_2548 [Microcystis aeruginosa NIES-2481],Microcystis aeruginosa NIES-2481,1698524,60,insd,2016/08/15,False,True
1052160792,AOC53260.1,Gas vesicle structural protein [Microcystis aeruginosa NIES-2481],Microcystis aeruginosa NIES-2481,1698524,60,insd,2016/08/15,False,True
1053312896,OCY15548.1,MAG: gas vesicle synthesis protein GvpA [Microcystis aeruginosa CACIAM 03],Microcystis aeruginosa CACIAM 03,1885576,71,insd,2016/08/17,False,True
1053312897,OCY15549.1,MAG: gas vesicle synthesis protein GvpA [Microcystis aeruginosa CACIAM 03],Microcystis aeruginosa CACIAM 03,1885576,71,insd,2016/08/17,False,True
1057115164,WP_068510916.1,MULTISPECIES: gas vesicle structural protein GvpA [Cyanophyceae],Cyanophyceae,3028117,72,refseq,2023/10/06,True,True
1059446011,ODH03157.1,gas vesicle synthesis protein GvpA [Nostoc sp. KVJ20],Nostoc sp. KVJ20,457944,73,insd,2016/08/25,False,True
1064239636,ODV36874.1,hypothetical protein BFG60_3721 [Microcystis aeruginosa NIES-98],Microcystis aeruginosa NIES-98,267869,71,insd,2016/09/14,False,True
1064239637,ODV36875.1,gas vesicle synthesis protein GvpA [Microcystis aeruginosa NIES-98],Microcystis aeruginosa NIES-98,267869,71,insd,2016/09/14,False,True
1065017409,WP_069474504.1,"gas vesicle structural protein GvpA, partial [Microcystis aeruginosa]",Microcystis aeruginosa,1126,70,refseq,2023/03/20,True,True
1072775698,WP_069965561.1,MULTISPECIES: gas vesicle structural protein GvpA [Desertifilum],Desertifilum,1185872,75,refseq,2025/08/16,True,True
1095469123,OHY32179.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii MVCC14],Cylindrospermopsis raciborskii MVCC14,940191,71,insd,2016/11/01,False,True
1095469124,OHY32180.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii MVCC14],Cylindrospermopsis raciborskii MVCC14,940191,71,insd,2016/11/01,False,True
1095469125,OHY32181.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii MVCC14],Cylindrospermopsis raciborskii MVCC14,940191,71,insd,2016/11/01,False,True
1095472780,OHY35691.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii CS-508],Cylindrospermopsis raciborskii CS-508,533243,71,insd,2016/11/01,False,True
1101219143,OIP67793.1,MAG: gas vesicle synthesis protein GvpA [Oscillatoriales cyanobacterium CG2_30_40_61],Oscillatoriales cyanobacterium CG2_30_40_61,1805291,72,insd,2016/11/09,False,True
1101231227,OIP78823.1,MAG: gas vesicle synthesis protein GvpA [Oscillatoriales cyanobacterium CG2_30_44_21],Oscillatoriales cyanobacterium CG2_30_44_21,1805292,72,insd,2016/11/09,False,True
1108371933,CUM61313.1,Gas vesicle structural protein A [Planktothrix agardhii],Planktothrix agardhii,1160,72,insd,2022/06/29,True,True
1108770361,CUR34535.1,Gas vesicle structural protein A [Planktothrix tepida PCC 9214],Planktothrix tepida PCC 9214,671072,71,insd,2016/11/28,True,True
1108772922,CUR30766.1,Gas vesicle structural protein A [Planktothrix tepida PCC 9214],Planktothrix tepida PCC 9214,671072,72,insd,2016/11/28,True,True
1111738751,OJJ25181.1,gas vesicle synthesis protein GvpA [Roseofilum reptotaenium AO1-A],Roseofilum reptotaenium AO1-A,1925591,72,insd,2016/12/07,False,True
1115273581,OKH36948.1,gas vesicle synthesis protein GvpA [Nostoc calcicola FACHB-389],Nostoc calcicola FACHB-389,1357508,73,insd,2016/12/14,False,True
1115284617,OKH47756.1,gas vesicle synthesis protein GvpA [Phormidium tenue NIES-30],Phormidium tenue NIES-30,549789,72,insd,2016/12/14,False,True
1119825227,WP_072717742.1,MULTISPECIES: gas vesicle structural protein GvpA [Planktothrix],Planktothrix,54304,72,refseq,2023/03/20,True,True
1121296891,WP_073608715.1,MULTISPECIES: gas vesicle structural protein GvpA [Cyanophyceae],Cyanophyceae,3028117,72,refseq,2023/03/20,True,True
1121332906,WP_073640805.1,MULTISPECIES: gas vesicle structural protein GvpA [Cyanophyceae],Cyanophyceae,3028117,73,refseq,2026/06/02,True,True
1129072016,OLP18007.1,gas vesicle synthesis protein GvpA [Leptolyngbya sp. 'hensonii'],Leptolyngbya sp. 'hensonii',1922337,72,insd,2017/01/06,False,True
1130430224,WP_075598971.1,gas vesicle structural protein GvpA [Leptolyngbya sp. 'hensonii'],Leptolyngbya sp. 'hensonii',1922337,72,refseq,2023/03/20,True,True
1152216003,SKB14388.1,Gas vesicle structural protein A [Planktothrix sp. PCC 11201],Planktothrix sp. PCC 11201,1729650,72,insd,2017/03/04,True,True
1158732350,OPF18085.1,gas vesicle structural protein [Microcystis aeruginosa KW],Microcystis aeruginosa KW,1960155,71,insd,2017/03/13,False,True
1158732351,OPF18086.1,gas vesicle structural protein [Microcystis aeruginosa KW],Microcystis aeruginosa KW,1960155,71,insd,2017/03/13,False,True
1159210309,OPH08566.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii CENA302],Cylindrospermopsis raciborskii CENA302,1170768,71,insd,2017/03/14,False,True
1159210310,OPH08567.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii CENA302],Cylindrospermopsis raciborskii CENA302,1170768,71,insd,2017/03/14,False,True
1159210311,OPH08568.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii CENA302],Cylindrospermopsis raciborskii CENA302,1170768,71,insd,2017/03/14,False,True
1180100503,WP_083620231.1,gas vesicle structural protein GvpA [Planktothrix serta],Planktothrix serta,1678310,72,refseq,2023/03/20,True,True
1181757958,ARI81312.1,GvpA1 [Microcystis aeruginosa PCC 7806SL],Microcystis aeruginosa PCC 7806SL,1903187,71,insd,2018/06/13,False,True
1181757959,ARI81313.1,GvpA2 [Microcystis aeruginosa PCC 7806SL],Microcystis aeruginosa PCC 7806SL,1903187,71,insd,2018/06/13,False,True
1181757961,ARI81315.1,GvpA3 [Microcystis aeruginosa PCC 7806SL],Microcystis aeruginosa PCC 7806SL,1903187,71,insd,2018/06/13,False,True
1183779258,WP_084989880.1,gas vesicle structural protein GvpA [Microcystis aeruginosa],Microcystis aeruginosa,1126,71,refseq,2023/03/20,True,True
1187445021,OSO88134.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii CENA303],Cylindrospermopsis raciborskii CENA303,1170769,71,insd,2017/04/28,False,True
1187445022,OSO88135.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii CENA303],Cylindrospermopsis raciborskii CENA303,1170769,71,insd,2017/04/28,False,True
1187445023,OSO88136.1,gas vesicle synthesis protein GvpA [Cylindrospermopsis raciborskii CENA303],Cylindrospermopsis raciborskii CENA303,1170769,71,insd,2017/04/28,False,True
1194461545,OUC15086.1,MAG: gas vesicle synthesis protein GvpA [Alkalinema sp. CACIAM 70d],Alkalinema sp. CACIAM 70d,1934309,72,insd,2017/05/18,False,True
1195999434,OUL21771.1,gas vesicle synthesis protein GvpA [Nostoc sp. T09],Nostoc sp. T09,1932621,73,insd,2017/05/22,False,True
1196009860,OUL31908.1,gas vesicle synthesis protein GvpA [Nostoc sp. RF31YmG],Nostoc sp. RF31YmG,1932668,73,insd,2017/05/22,False,True
1196014374,OUL36268.1,gas vesicle synthesis protein GvpA [Nostoc sp. 106C],Nostoc sp. 106C,1932667,73,insd,2017/05/22,False,True
1197820018,WP_086756007.1,MULTISPECIES: gas vesicle structural protein GvpA [Nostocales],Nostocales,1161,73,refseq,2024/04/07,True,True
1209853600,GAX41487.1,gas vesicle protein GvpA [Tolypothrix sp. NIES-4075],Tolypothrix sp. NIES-4075,2005459,72,insd,2023/08/08,True,True
1210091077,BAY10213.1,gas vesicle protein GvpA [Calothrix sp. NIES-2098],Calothrix sp. NIES-2098,1954171,73,insd,2022/12/15,True,True
1210096003,BAY15137.1,gas vesicle protein GvpA [Anabaenopsis circularis NIES-21],Anabaenopsis circularis NIES-21,1085406,73,insd,2022/12/15,True,True
1210108544,BAY27674.1,gas vesicle protein GvpA [Calothrix sp. NIES-2100],Calothrix sp. NIES-2100,1954172,72,insd,2022/12/15,True,True
1210108656,BAY27786.1,gas vesicle synthesis protein GvpA [Calothrix sp. NIES-2100],Calothrix sp. NIES-2100,1954172,71,insd,2022/12/15,False,True
1210108657,BAY27787.1,gas vesicle synthesis protein GvpA [Calothrix sp. NIES-2100],Calothrix sp. NIES-2100,1954172,107,insd,2022/12/15,False,True
1210110091,BAY29219.1,gas vesicle synthesis protein GvpA [Nostoc carneum NIES-2107],Nostoc carneum NIES-2107,1973483,71,insd,2022/12/15,False,True
1210110092,BAY29220.1,gas vesicle synthesis protein GvpA [Nostoc carneum NIES-2107],Nostoc carneum NIES-2107,1973483,71,insd,2022/12/15,False,True
1210112476,BAY31604.1,gas vesicle synthesis protein GvpA [Nostoc carneum NIES-2107],Nostoc carneum NIES-2107,1973483,71,insd,2022/12/15,False,True
1210125607,BAY44721.1,gas vesicle protein GvpA [Scytonema sp. HK-05],Scytonema sp. HK-05,1137095,145,insd,2022/12/15,True,True
1210138694,BAY57799.1,gas vesicle structural protein [Leptolyngbya boryana NIES-2135],Leptolyngbya boryana NIES-2135,1973484,72,insd,2022/12/15,False,True
1210138697,BAY57802.1,gas vesicle protein GvpA [Leptolyngbya boryana NIES-2135],Leptolyngbya boryana NIES-2135,1973484,131,insd,2022/12/15,True,False
1210140996,BAY60097.1,gas vesicle synthesis protein GvpA [Calothrix brevissima NIES-22],Calothrix brevissima NIES-22,1973478,71,insd,2022/12/15,False,True
1210145780,BAY64881.1,gas vesicle synthesis protein GvpA [Calothrix brevissima NIES-22],Calothrix brevissima NIES-22,1973478,71,insd,2022/12/15,False,True
1210145781,BAY64882.1,gas vesicle synthesis protein GvpA [Calothrix brevissima NIES-22],Calothrix brevissima NIES-22,1973478,71,insd,2022/12/15,False,True
1210148786,BAY67878.1,gas vesicle synthesis protein GvpA [Trichormus variabilis NIES-23],Trichormus variabilis NIES-23,1973479,71,insd,2022/12/15,False,True
1210148787,BAY67879.1,gas vesicle synthesis protein GvpA [Trichormus variabilis NIES-23],Trichormus variabilis NIES-23,1973479,71,insd,2022/12/15,False,True
